City,Temperature (F),Humidity (%),Clouds(% Cloudy),Windspeed (mph),Latitude,Longitude
alekseyevsk,22.06,96,100,11.5,57.8406,108.3492
huoqiu,44.69,65,100,13.29,32.3394,116.2694
kilindoni,82.9,79,84,14.83,-7.9139,39.6668
romny,4.37,93,100,2.57,50.751,33.4747
contamana,92.25,49,81,4.56,-7.3333,-75.0167
tumarbong,77.63,84,99,7.16,10.3766,119.4579
okha,8.37,94,100,25.77,53.5739,142.9478
walvis bay,66.61,73,24,8.05,-22.9575,14.5053
primorsk,27.59,79,95,9.53,46.7348,36.3443
hjelset,24.8,58,0,16.11,62.7833,7.4833
grand-santi,80.22,85,100,5.3,4.25,-54.3833
sao jose da coroa grande,83.71,68,68,12.91,-8.8978,-35.1478
micheweni,81.34,80,70,13.35,-4.9667,39.8333
luau,68.99,96,99,4.34,-10.7073,22.2247
dickinson,56.53,58,1,9.22,29.4608,-95.0513
gamba,78.94,85,100,6.29,-2.65,10
saint-joseph,78.75,78,32,4.61,-21.3667,55.6167
vangaindrano,78.89,89,100,11.36,-23.35,47.6
narrabri,66.99,73,3,12.66,-30.3167,149.7833
zhezkazgan,22.15,97,100,14.32,47.8043,67.7144
roma,26.24,80,90,7.63,43.2128,-75.4557
manavgat,57.11,100,72,0.78,36.7867,31.4431
vanimo,77.5,86,100,1.79,-2.6741,141.3028
juegang,45,78,93,1.99,32.3174,121.1855
geraldton,69.8,78,40,9.22,-28.7667,114.6
manzanillo,86.11,50,7,7.76,20.3433,-77.1167
alta floresta,87.8,66,40,8.05,-9.8756,-56.0861
frutal,81.34,55,42,3.78,-20.0247,-48.9406
ipixuna,80.6,83,75,12.66,-1.7625,-48.8043
saint-francois,40.53,81,75,4.61,46.4154,3.9054
kloulklubed,77,94,90,5.75,7.0419,134.2556
komsomolskiy,44.82,84,100,2.73,40.4272,71.7189
aksarka,-15,88,100,29.39,66.5606,67.7975
santa helena de goias,80.4,67,52,6.89,-17.8136,-50.5969
constantine,50,76,40,10.36,36.365,6.6147
ixtapa,77,57,1,5.46,20.7,-105.2
umm kaddadah,68.5,23,14,13.18,13.6017,26.6876
bairiki,80.6,89,75,9.22,1.3292,172.9752
flin flon,-34.6,61,1,12.66,54.7682,-101.865
wanning,68.63,90,22,4.12,18.8003,110.3967
anloga,86,74,20,14.97,5.7947,0.8973
sawtell,71.6,78,75,12.66,-30.3833,153.1
tazovskiy,-12.86,90,100,19.15,67.4667,78.7
andenes,32,69,99,23.02,69.3143,16.1194
senovo,48.81,93,100,5.75,46.0236,15.4769
obo,74.14,20,77,4.65,5.3998,26.4869
panaba,81.88,67,94,4.16,21.2833,-88.2667
